user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,english_proficiency,english_native,native_language,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
1,f5e3d294-de4a-4be3-9,"super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",,super intense|filled with so much adrenaline,,,ending of a video game,score gets more intense the more you listen,finished the final goal before the hardest task|everything is on the line,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,ee0aa1b5-2bb6-4770-a,this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,,crisis|uncertainty,,,,,30 year old dads|men who dont know what theyre doing,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e89bff81-fa30-4d94-8,"very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",jazz,very happy,,,,,beginning of a modern christmas music|ballroom|main couple bantering with each other,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e7de29c9-e9dd-4a06-a,laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,ambient,pondering,a dude talking,,,,laying down in the middle of the woods|pondering what life is about,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e0aea9d2-f3fe-4e97-a,"convertable with the music blaring super loud, something that old school kids back in the day would listen to",,,,blaring super loud,,,something that old school kids back in the day would listen to,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2cf4cdf-f303-4ef9-9,rock/heavy metal and a lot of screaming and loud music.,rock|heavy metal,,,screaming|loud,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2bec18a-bac3-48cb-b,"super groovey and funky, you can totally jiggy with this wearing a kind of disco suit. reminds me of rollar skates too",funky|disco,super groovey,,,dance,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,c21d9593-e7e4-41fe-b,"more rock, except this time is feels almost reptillion? I cant really explain it other than the fac that this feels like a lizard has taken the form of a human body and is doing this",rock,,,reptilian,,,a lizard has taken the form of a human body and is doing this,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,a5ac307b-e75d-47b1-9,"this is rave music, theres such a disticint visual of someone shaking their head back and forth and sticking their tounge out in the process",rave,,,,,,someone shaking their head back and forth and sticking their tongue out,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,9a4d75e7-de00-4931-9,"walking down the street on a sunny day near the public sports facilities like basketball, children nearby are sipping lemondade and are eating popsicles",,,,,,,walking down the street on a sunny day|near the public sports facilities|basketball|children nearby|sipping lemonade|eating popsicles,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,91f9b933-c02b-47df-9,"this has a lot of autotune in it to where it almost doesnt sound like a girl singing and more ai generated, and they eneunicate the end of their words a lot",,,,a lot of autotune|almost doesnt sound like a girl singing|more ai generated,,,they enunciate the end of their words a lot,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,86b81fdf-9b70-4200-a,this is giving very much theme song to a coming of age tv show or movie where someone is trying to find their place in the world,,,,,theme song,,coming of age|someone trying to find their place in the world,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,858415cc-1335-476e-a,mario kart. that is all. this is a mario kart theme song,,,,,mario kart theme song,,mario kart,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,7e425ed4-399b-4c72-a,walking in the rain expect your head is looking kind of a bit more up than down,,,,,,,walking in the rain|head looking kind of a bit more up than down,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,65239b62-1cec-4b3a-9,"soulless rap, youre not listening to it to get anything from the world but to just have a nice sound in your ear, the voice is monotone enough to where youre not paying too much attention to it so you can listen to someone elses conversation",rap,,,monotone,background,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,652ed6ff-5366-4dea-9,"this is specially in a river. not the forest ground or the ocean but a cold river, youre staring off into the abyss watching the water flow as youre contemplating everything. Very etheral vibe to it",,ethereal|contemplating,,,,,specially in a river|not the forest ground or the ocean|staring off into the abyss|watching the water flow,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,0825d51f-0845-4009-a,"walking down by yourself in the city of newyork in the rain, where you feel like the main character, but no one is actually paying attention to you",,,,,,,walking down by yourself in the city of newyork in the rain|you feel like the main character|no one is actually paying attention to you,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,0cd8226a-a270-4165-a,"country, the definition of sitting on a truck, cracking open a beer, and talking about how much you hate your wife. very distinct american accent in the song",country,hate,,very distinct american accent,,,sitting on a truck|cracking open a beer|talking about how much you hate your wife,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,1c339881-c51b-4318-a,anime music that would be in the theme song thats super catchy and everyone bobs their head too,anime music,super catchy,,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,1fcc61c5-7033-469e-9,"walkout music, like big biker intimidating gang is just showoing on stage for the first time so you play music in the background to know that theyre legit",,intimidating,,,walkout music|background,,big biker intimidating gang|just showing on stage for the first time|to know that theyre legit,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
2,fb21d861-9397-4126-8,This the musical score that plays when the main character is about to run a world record time at the olympics. The guitar is meant to represent their nerves before racing,,nerves,guitar,,musical score,,main character|about to run a world record time at the olympics,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,246bf3fe-a489-4545-a,"This is the definition of girl group k-pop. I don't listen to enough K-Pop to distinguish this from anything else, but it kind of sounds like the bridge in Touch by Katseye",girl group k-pop|k-pop,,,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,84deb4de-d0fb-4e1d-a,1920s jazz club. Slow and rhythmic. All it needs is a Louis Armstrong vocal overtop and you have a 1920s HIT,1920s jazz,,vocal,,club,slow|rhythmic,louis armstrong vocal,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,e66caf62-70ce-418a-8,"This is a J Cole song, and you can't convince me otherwise.",,,,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,d2c86c3d-07fc-4390-8,The vibes are dreamy bedroom pop. I would listen to this while laying on grass and staring up at either a night sky or a slightly cloudy sunset,bedroom pop,dreamy,,,listening while laying on grass and staring at sky,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,a817156f-977c-4a72-8,Slow progressive instrumental track that you would see behind an anticipatory moment in a movie. A character has to make a serious decision then the beat drops when they get their consequences,progressive,anticipatory|serious,,,cinematic,slow|instrumental|beat drops,a character has to make a serious decision|they get their consequences,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,9a496feb-6a67-4f22-a,Very generic grunge rock from the late 80s early 90s. This is something my mom would listen to with her windows down and banging her head,grunge rock,,,,banging her head,,late 80s early 90s,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,9a12553b-7ae1-4e35-9,"This has the vibes of 80s pop, but this song isn't something someone would unironically write. It has the tune of something that would play in a comedic video game commercial",80s pop,,,,comedic video game commercial,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,94894312-0261-4956-8,"Sounds like a generic JZ or Tupac song. Honestly don't know what that genre is called, but the beats match the lowkey rap.",rap,lowkey,,,,beats,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,82297794-bd7d-4718-9,Scientific Instrumental. Reminds me of the movie score in Oppenheimer or literally any by Hans Zimmer. I would definitely listen to this while studying to inspire myself,,,,,studying|inspire myself|movie score,,oppenheimer|hans zimmer,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,7a83cea8-c6f4-4944-8,Solo pop song with a female artist. Sound very AI and unoriginal. Seems along the strain of todays K-Pop except it isn't K-Pop,pop|k-pop,,female artist,ai|unoriginal,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,5583d3b7-8692-4c18-8,"This is a Disney Movie number, but it is specifically a Disney Movie number from the 90s or earlier when Disney was in its prime for music. Think Tarzan and Mulan sound tracks",,,,,disney movie number,,tarzan sound track|mulan sound track|disney movie number from the 90s or earlier,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,566f7399-846c-4579-a,Great older RnB song. Would listen to in a jazz club if there was more trumpet. Piano running in the background,rnb|jazz,,trumpet|piano,,jazz club,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,5d465d7f-d93d-47f3-9,"Classical ,elegant piano music. I can only imagine this is the style of music that piano composers wish to replicate",classical,elegant,piano,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,754e03f6-9cc8-4deb-b,"Giving slow love songs like the ones by Frankie Vallie and other artists in those veins. Also giving 60s beach boy vibes, so if I had to put it anywhere in time it would be then",,slow love songs,,,,,60s beach boy vibes,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,2c080e35-5332-4784-a,Slow almost opera song. Would hear it in a very emotional music number where the main character just got her heartbroken,opera,slow|emotional,,,music number,slow,main character just got her heartbroken,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,346756fd-269e-4421-8,"Alternative grunge rock? I honestly have no idea, but the vocals and the beginning give me pop vibes, but the guitar and rhythm give me rock vibes, but it isn't pop rock",alternative grunge rock|pop|rock,,vocals|guitar,,,rhythm,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,3c41851f-03a5-464c-9,80s pop song. You would definitely hear this in a mall or at like a Zoomba class. Would definitely get me into the mood to exercise.,80s pop,,,,mall|zoomba class|exercise,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,4ce5fcbf-3111-4a0d-b,Digital and Techno. This would be playing at any number of clubs in Europe,digital|techno,,,,clubs in europe,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
2,12c3b33c-37c3-42e9-b,"Don't know the name of this genre. Other people it reminds me of would be like MF Doom but more inspirational and a little slower. Although, the autotune really takes away on this one",,inspirational,,autotune,,a little slower,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3,0,0,Monthly or less,No,
3,d2a0689f-4bd9-496a-b,I don't know what that noise is called but its very upbeat and electric. There is a few woman saying words that are added to the soundtrack.,,upbeat,woman,electric,,,words that are added to the soundtrack,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,c7af0ea9-f546-4f26-b,I hear electric guitar and drum and maybe like one of those triangle things. Then there is multiple males singing in another language together.,,,electric guitar|drum|triangle|multiple males singing,,,,singing in another language,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,ae81034e-2b91-4d08-8,It sounds like music produced by an orchestra and is very dramatic. It's sung like opera I think?,opera,dramatic,orchestra,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,97e26fe2-d45a-46b2-8,There is a woman singing in a whisper like voice and there is background beats and some added sound effects.,,,woman singing,whisper like voice,,,background beats|added sound effects,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,8760d63e-0eab-4d6e-9,I hear acoustic guitar and drums. Maybe a tambourine or something? There is a main male singer and backup vocals and it sounds like a country song.,country,,acoustic guitar|drums|tambourine|male singer|backup vocals,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,7e425ed4-399b-4c72-a,"I hear electric guitar, drums, bass, and some piano. There is a woman singing in a lower voice at the end but there is an instrumental build-up first.",,,electric guitar|drums|bass|piano|woman singing,,,instrumental build-up,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,55300023-5c40-490e-9,I hear like jazz music with a main female singing and male and female background vocals.,jazz,,main female singing|male background vocals|female background vocals,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,58339466-2de5-4409-b,I hear beats like when someone uses one of those keyboard things to input sounds. A woman is singing over it and there is some backup vocals. She hits high notes.,,,keyboard|woman singing|backup vocals,,,high notes,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,63da007b-14c8-431d-a,There is a guy talk-screaming in another language. It seems like the punk music with electric guitar.,punk,,electric guitar|guy talk-screaming,,,,in another language,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,6eec1cc9-81f9-40d3-9,Sounds like punk metal with electric guitar and drums. A guy is more screaming than singing.,punk metal,,electric guitar|drums|guy,screaming,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,7279ca60-c53e-4913-a,I hear different beats maybe by drums and guitar and like a trombone or something. There is a male singer and its upbeat it sounds like an older song.,,upbeat,drums|guitar|trombone|male singer,,,,older song,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,291b2f9c-c41b-4ab8-9,"I hear acoustic guitar, maybe some sort of trombone or something in it (i don't know the differences between those kinds of instruments). It sounds country.",country,,acoustic guitar|trombone,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,2b52b4c3-c6fb-47b5-b,There is upbeat beats and a woman singing in a high pitch tone with background vocals. At some points it sounds like her voice gets distorted.,,upbeat,woman singing|background vocals,high pitch|distorted,,beats,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,3f9b3ba7-7b13-4d04-8,"I hear multiple vocals mainly male, I think? And violin is playing and it sounds like a musical song.",,,multiple vocals|male vocals|violin,,musical song,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,43d604bc-f7ba-45f9-a,I hear guitar music and it's a guy and girl country duet that has guy background vocals.,country,,guitar|guy vocals|girl vocals|guy background vocals,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,45aa2509-8554-4bf3-8,I hear electric guitar and drums. A guy is like screaming but not that hard and it sounds like punk but not the hard metal kind where they just scream.,punk,,electric guitar|drums|male vocalist,screaming but not that hard,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,4edf7524-0d23-48f2-9,"This song has drums, guitar, and bass. The lyrics are really weird, but it sounds like a rock song sung by a man with like an echoey back up.",rock,,drums|guitar|bass|man|back up,echoey,,,weird lyrics,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,1c339881-c51b-4318-a,Electric music in a different language sang by multiple women. The tone is high pitched.,electric,,multiple women,high pitched,,,different language,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,1fce4fac-fe02-42f3-9,I hear jazz music with a saxophone or something in it and some background beats.,jazz,,saxophone|background beats,,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
3,25e7176b-dcd9-4b4b-8,I hear different beats and guitar. There are multiple women singing and it's not calm but not upbeat.,,not calm but not upbeat,guitar|multiple women singing,,,different beats,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,english,0,0,0,Daily or multiple times per week,No,
4,ee070cac-0af1-4d86-9,woman singing with guitars in the background. country kinda .,country,,woman singing|guitars,,,,,18 - 24,Prefer not to answer,Extremely Proficient (Native or Bilingual),Yes,Anglais,0,2,0,I have no knowledge of these tools or never used them before,No,
